,Job_Title,Company_Name,data_time,seniority_level,employment_type,job_link
0,"Data Scientist - Cairo, Egypt",Benjamin,2024-07-03,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-cairo-egypt-at-benjamin-3966057552?position=1&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=I4QLzS09OQbEOgEUNw%2FZfg%3D%3D&trk=public_jobs_jserp-result_search-card
1,Data Scientist,Nawy,2024-04-09,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-at-nawy-3888114087?position=2&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=eB09CXmZ5mS5NZbM5o4rFA%3D%3D&trk=public_jobs_jserp-result_search-card
2,AI Engineer,EJADA,2024-08-07,Associate,Full-time,https://eg.linkedin.com/jobs/view/ai-engineer-at-ejada-3993600052?position=3&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=i141rqo0uPHt1Hdi1ljqeA%3D%3D&trk=public_jobs_jserp-result_search-card
3,Data Scientist I,Breadfast,2024-06-25,Entry level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-i-at-breadfast-3958906927?position=4&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=EQYodsy3sUdK9L41DUC%2Fgw%3D%3D&trk=public_jobs_jserp-result_search-card
4,AI Scientist,Boubyan Digital Factory,2024-08-05,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/ai-scientist-at-boubyan-digital-factory-3992444915?position=5&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=z0Jxx2o5qpZ7hn3aXrJPvg%3D%3D&trk=public_jobs_jserp-result_search-card
5,Data Scientist,SSC Egypt,2024-06-24,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-at-ssc-egypt-3957633213?position=6&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=NO%2BU9hx4IcXN%2Fubs1wCbwQ%3D%3D&trk=public_jobs_jserp-result_search-card
6,Machine Learning Engineer,Siemens,2024-07-27,Associate,Full-time,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-siemens-3965448912?position=7&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=p3EYkLxkbO2kx1bv4ql4Vg%3D%3D&trk=public_jobs_jserp-result_search-card
7,Data Scientist,Siemens,2024-08-10,Director,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-at-siemens-3977793939?position=8&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=O83DVRwmpzogmEEbDyj%2BZA%3D%3D&trk=public_jobs_jserp-result_search-card
8,"Data Scientist ""Senior/Lead""",Banque Misr,2024-03-24,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-senior-lead-at-banque-misr-3904466021?position=9&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=eEzOtgyP7XeoOhjWTY9uPg%3D%3D&trk=public_jobs_jserp-result_search-card
9,Data Scientist,Teradata,2024-07-25,Mid-Senior level,Full-time,https://eg.linkedin.com/jobs/view/data-scientist-at-teradata-3965982145?position=10&pageNum=0&refId=xrhhWLOavKpH6mtZ9W%2F1kw%3D%3D&trackingId=V9Ag2WNm4rzdaOyhXhzZ8Q%3D%3D&trk=public_jobs_jserp-result_search-card
